no,Tweet
236,Step 1  introduce digital rupee.  Step 2  make it easy to use for even lower class  Step 3  make digital currency a habit  Step 4  restrict physical currency withdrawal  Step 5  ban physical currency and make money digital.  Could be a great idea to make courruption literally zero if  I'mplemented correctly.
237,What if CBDC is fully  I'mplemented and physical currencies are take out of circulation Will it not curb the curruption and terrorism  Please give your insights   Thanks  for an excellent presentation
238,I think u should become consultant to RBI
239,Too judgmental… no information…
240,i fell asleep watching your explanation .....
241,"when social media came out it was hoped that it will strengthen individual liberty and for while it did, then govts and the elites used it to divide up people spreading propaganda creating echo chambers, and censoring the truth. CBDC will also be used by tyrannical govts to snatch away your economic freedom and liberty. money.  I'magine one day waking up and seeing either no money or having your money being frozen by the govt just because you decided to speak against the injustice of the govt"
242,Is Cbdc will be it in crypto on exchanges
243,Easy of doing transaction
244,Black money is not explained well
245,Akshat you explained the CDBC in such a way people will in confusion state.
246,You are anti BJP Modi
247,"If we consider CBDC to be equivalent to physical notes, then can    't the govt in near future do another demonitization of say all denomination notes above Rs 100, but this time give everyone e rupi in place of physical currency  All currency above Rs 100 can br banned. They can then solve the issue of black money in the economy. No one can keep e rupi as black money right "
248,Lets see...If it is useless...Ult I'mately govt rolls it back...So bold decisions are necessary... Some may hit some may fail...
249,We know pivotal role of Raghuraman n Chidambaram n Antonio    's nexus.
250,First e rupee... Bank to bank transactions(its useful instead of purchasing bonds etc etc)  2nd e rupee for retailers.. I think here retailers means for bussiness bigger transactions..Already they will maintain current accounts with bank.. Its plan to curb black. hidden money from market. Govt didnt say about banks..  I think its useful for companies and bussiness people not for common man  Govt already gave upto 19 dec for any suggestions..We can use it for our queries...  But financial reforms are needed whether it will be good or bad future will say .  If I am wrong can correct me...
